Alternate_Titles,Artist_Bio,Copyright_Contact,Date_of_Production,Format,HI,Language_List,Language_Note,Location_Venue,Main_Production_Credits,Meeting_Information,NOID,Participants,Publication_Cycle,Rights_Holder,Run_Time,Series_Title,Subjects_650,Subjects_653,Summary,Title,Worktypes
,"Deborah Castillo is a Venezuelan-born, Brooklyn-based multidisciplinary artist. She holds an MFA and BFA from Armando Reverón Higher Education School of Fine Arts in Caracas, Venezuela. Castillo has been granted numerous awards and residencies including NYFA Immigrant Artist Mentoring Program, (2015), NYC, The Banff Center. Artist in Residence Program in Visual Arts (2015) Canada, Atlantic Center for the Arts (2014), Florida and London Print Studio, (2007) UK as well as “Premio Armando Reverón”; AVAP in the “Young Artist Category” (2013), “XI Salón Eugenio Mendoza” Award, Sala Mendoza, (2003); VI Salón CANTV, Jóvenes con FIA” Award, (2003) Caracas, Venezuela and more. Her work has been exhibited at Museum of Arts and Design (US), New Museum (US), Rufino Tamayo Museum (Mexico), Carrillo Gil Museum (Mexico); Escuela de Bellas Artes, Bolivian Biennial SIART (Bolivia), UCLA (US), ICA (UK), Palais de Tokyo (France, The Broad Museum (US), Smack Mellon (US), and the Hemispheric Institute (US), among others.",,2017,1 digital file,HI2019_034_01,Spanish,No spoken language.,"Galería Carmen Araujo Arte, Caracas, Venezuela.",Deborah Castillo.,,ns1rnh3g,,2020-08 August,Deborah Castillo,7:03,Deborah Castillo Collection,,"Dictatorship -- Latin America.|,Idolatry -- Latin America.|,Colonialisms|,Parricide|","In this performance, Deborah Castillo questions popular monuments honoring Latin American independence heroes. Countless memorials are found in cities and towns across Latin America, each with a distinct style. Here, the sculpture is destroyed as a big explosion obliterates its head. In Castillo's words, ""It embodies the implosion of the hero, leaving ruins behind."" This piece hints at the Venezuelan dictatorship and its symbolic connection to other Latin-American regimes in the 20th century.",Parricidio,"Video art,Video performance"
,"Deborah Castillo is a Venezuelan-born, Brooklyn-based multidisciplinary artist. She holds an MFA and BFA from Armando Reverón Higher Education School of Fine Arts in Caracas, Venezuela. Castillo has been granted numerous awards and residencies including NYFA Immigrant Artist Mentoring Program, (2015), NYC, The Banff  Center. Artist in Residence  Program in Visual Arts (2015) Canada, Atlantic Center for the Arts (2014), Florida and London Print Studio, (2007) UK as well as “Premio Armando Reverón”; AVAP in the “Young Artist Category” (2013), “XI Salón Eugenio Mendoza” Award, Sala Mendoza, (2003); VI Salón CANTV, Jóvenes con FIA” Award, (2003) Caracas, Venezuela and more. Her work has been exhibited at Museum of Arts and Design (US), New Museum (US), Rufino Tamayo Museum (Mexico), Carrillo Gil  Museum (Mexico); Escuela de Bellas Artes, Bolivian Biennial SIART (Bolivia), UCLA (US), ICA (UK), Palais de Tokyo (France, The Broad Museum (US), Smack Mellon (US), and the Hemispheric Institute (US), among others.",,2012,1 digital file,HI2019_035_01,Spanish,No spoken language.,"Velada de Santa Lucia, Maracaibo, Venezuela.",Deborah Castillo.,,6hdr811b,,2020-08 August,Deborah Castillo,1:50,Deborah Castillo Collection,,"Video performance|,Politics and culture.|,Military dictatorship|,Idolatry -- Latin America.|,Dictatorship -- Latin America.|,Fetishism.|","In Lickzuela (2012), Deborah Castillo comments on the historical and contemporary fascination with military power structures. She plays suggestively with the common symbology of the soldier by licking a military boot. In doing so, Castillo adds a layer of sexual fetish to the violence already fetishized by societal ideas of militaristic force. Particularly within Venezuela, the idolatries of the state and the military are almost indistinguishable.",Lickzuela,"Video performance,Video art"
The kidnapping of the minister of culture,"Deborah Castillo is a Venezuelan-born, Brooklyn-based multidisciplinary artist. She holds an MFA and BFA from Armando Reverón Higher Education School of Fine Arts in Caracas, Venezuela. Castillo has been granted numerous awards and residencies including NYFA Immigrant Artist Mentoring Program, (2015), NYC, The Banff  Center. Artist in Residence  Program in Visual Arts (2015) Canada, Atlantic Center for the Arts (2014), Florida and London Print Studio, (2007) UK as well as “Premio Armando Reverón”; AVAP in the “Young Artist Category” (2013), “XI Salón Eugenio Mendoza” Award, Sala Mendoza, (2003); VI Salón CANTV, Jóvenes con FIA” Award, (2003) Caracas, Venezuela and more. Her work has been exhibited at Museum of Arts and Design (US), New Museum (US), Rufino Tamayo Museum (Mexico), Carrillo Gil  Museum (Mexico); Escuela de Bellas Artes, Bolivian Biennial SIART (Bolivia), UCLA (US), ICA (UK), Palais de Tokyo (France, The Broad Museum (US), Smack Mellon (US), and the Hemispheric Institute (US), among others.",,2011,1 digital file,HI2019_036_01,Spanish,,"Caracas, Venezuela.",Ivan Canedo. Gerardo Rojas. Luis Arroyo. Jose Miguel Del Pozo. Federico Ovalles-Ar. Angela Capasso. Liliana Lara (Colectivo Bajalenguas).  Aixa Sanchez. Pablo León De La Barra. Felix Suazo. Alonso Núñez. Marjiatta Gottopo. Lorena Gonzalez. Carlos Leonzi. Tita Boufrand. Alberto Negrón. Luis Poleo. Toni Arellano. Jaime Castro.,,rjdfn9bf,,2020-08 August,Deborah Castillo,1:42,Deborah Castillo Collection,,"Video performance|,Political satire.|,Latin America -- History -- Political aspects.|,Latin America -- Politics and government|","In El secuestro de la ministra de cultura (2011), a criminal gang kidnaps the Venezuelan Minister of Culture. Her husband has to pay the ransom and uses a piece of artwork, with certificates of authenticity to assure a high value. The performance satirizes the telenovela format and sensationalist television more broadly. Here, artist Deborah Castillo portrays the role of free-market economy and bureaucracy within Venezuelan culture. She also comments on the rampant illegal practice of buying influence inside Venezuela, a socialist country where the government takes pride in the allegedly equal distribution of cultural capital. ",El secuestro de la ministra de cultura,"Short film.,Video performance"
,"Deborah Castillo is a Venezuelan-born, Brooklyn-based multidisciplinary artist. She holds an MFA and BFA from Armando Reverón Higher Education School of Fine Arts in Caracas, Venezuela. Castillo has been granted numerous awards and residencies including NYFA Immigrant Artist Mentoring Program, (2015), NYC, The Banff  Center. Artist in Residence  Program in Visual Arts (2015) Canada, Atlantic Center for the Arts (2014), Florida and London Print Studio, (2007) UK as well as “Premio Armando Reverón”; AVAP in the “Young Artist Category” (2013), “XI Salón Eugenio Mendoza” Award, Sala Mendoza, (2003); VI Salón CANTV, Jóvenes con FIA” Award, (2003) Caracas, Venezuela and more. Her work has been exhibited at Museum of Arts and Design (US), New Museum (US), Rufino Tamayo Museum (Mexico), Carrillo Gil  Museum (Mexico); Escuela de Bellas Artes, Bolivian Biennial SIART (Bolivia), UCLA (US), ICA (UK), Palais de Tokyo (France, The Broad Museum (US), Smack Mellon (US), and the Hemispheric Institute (US), among others.",,2011,1 digital file,HI2019_037_01,Spanish,No spoken language.,,Deborah Castillo.,,hqbzkqd1,,2020-08 August,Deborah Castillo,1:00,Deborah Castillo Collection,,"Video performance|,Sexuality|,Gender and sexuality|,Gender and society|,Identity politics.|","In Mona (2011), Deborah Castillo comments on the social construct of the ""sexy"", hard-working, and tireless woman. She portrays a woman exercising on an elliptical machine while wearing high heels. Behind her, resting on the pedals of the machine and contrasting with the heels, are a pair of boots—a common symbol in Castillo's work. ",Mona,Video performance
,"Deborah Castillo is a Venezuelan-born, Brooklyn-based multidisciplinary artist. She holds an MFA and BFA from Armando Reverón Higher Education School of Fine Arts in Caracas, Venezuela. Castillo has been granted numerous awards and residencies including NYFA Immigrant Artist Mentoring Program, (2015), NYC, The Banff  Center. Artist in Residence  Program in Visual Arts (2015) Canada, Atlantic Center for the Arts (2014), Florida and London Print Studio, (2007) UK as well as “Premio Armando Reverón”; AVAP in the “Young Artist Category” (2013), “XI Salón Eugenio Mendoza” Award, Sala Mendoza, (2003); VI Salón CANTV, Jóvenes con FIA” Award, (2003) Caracas, Venezuela and more. Her work has been exhibited at Museum of Arts and Design (US), New Museum (US), Rufino Tamayo Museum (Mexico), Carrillo Gil  Museum (Mexico); Escuela de Bellas Artes, Bolivian Biennial SIART (Bolivia), UCLA (US), ICA (UK), Palais de Tokyo (France, The Broad Museum (US), Smack Mellon (US), and the Hemispheric Institute (US), among others.",,2008,1 digital file,HI2019_038_01,Spanish,No spoken language.,"Espacio Escala. Cajasol, Sevilla, Spain.",Deborah Castillo.,,qrfj6xj8,,2020-08 August,Deborah Castillo,2:58,Deborah Castillo Collection,,"""Women, sexuality and culture|"",Identity politics.|,Colonialisms|","In La Supersudaca (2008), a woman cleans every inch of a gallery in a small maid suit. Her movements are delicate, and sometimes she adjusts her plastic breasts.  The performance is a stark comment on the role of Latin American immigrant women in Europe, especially in Spain. The performance portrays the hypersexualization and xenophobia these women often experience, bringing attention to the patriarchal hegemony of colonizer over colonized, as well as of employer over employee.",La supersudaca,"Performance,Performance art."
,"Deborah Castillo is a Venezuelan-born, Brooklyn-based multidisciplinary artist. She holds an MFA and BFA from Armando Reverón Higher Education School of Fine Arts in Caracas, Venezuela. Castillo has been granted numerous awards and residencies including NYFA Immigrant Artist Mentoring Program, (2015), NYC, The Banff  Center. Artist in Residence  Program in Visual Arts (2015) Canada, Atlantic Center for the Arts (2014), Florida and London Print Studio, (2007) UK as well as “Premio Armando Reverón”; AVAP in the “Young Artist Category” (2013), “XI Salón Eugenio Mendoza” Award, Sala Mendoza, (2003); VI Salón CANTV, Jóvenes con FIA” Award, (2003) Caracas, Venezuela and more. Her work has been exhibited at Museum of Arts and Design (US), New Museum (US), Rufino Tamayo Museum (Mexico), Carrillo Gil  Museum (Mexico); Escuela de Bellas Artes, Bolivian Biennial SIART (Bolivia), UCLA (US), ICA (UK), Palais de Tokyo (France, The Broad Museum (US), Smack Mellon (US), and the Hemispheric Institute (US), among others.",,2015,1 digital file,HI2019_039_01,Spanish,No spoken language.,"Caracas, Venezuela.",Deborah Castillo.,,z8w9gr9k,,2020-08 August,Deborah Castillo,2:33,Deborah Castillo Collection,,"Idolatry -- Latin America.|,Latin America -- Politics and government|,Fetishism.|,Video performance|,Colonialisms|","In Slapping Power (2015), Deborah Castillo slaps two busts representative of patriarchal power. Both sculptures are made of wet clay, and with each slap Castillo distorts their faces until they are unrecognizable. Castillo employs, confronts, and subverts violence as she questions patriarchal notions of power.",Slapping power,Video performance
,"Deborah Castillo is a Venezuelan-born, Brooklyn-based multidisciplinary artist. She holds an MFA and BFA from Armando Reverón Higher Education School of Fine Arts in Caracas, Venezuela. Castillo has been granted numerous awards and residencies including NYFA Immigrant Artist Mentoring Program, (2015), NYC, The Banff  Center. Artist in Residence  Program in Visual Arts (2015) Canada, Atlantic Center for the Arts (2014), Florida and London Print Studio, (2007) UK as well as “Premio Armando Reverón”; AVAP in the “Young Artist Category” (2013), “XI Salón Eugenio Mendoza” Award, Sala Mendoza, (2003); VI Salón CANTV, Jóvenes con FIA” Award, (2003) Caracas, Venezuela and more. Her work has been exhibited at Museum of Arts and Design (US), New Museum (US), Rufino Tamayo Museum (Mexico), Carrillo Gil  Museum (Mexico); Escuela de Bellas Artes, Bolivian Biennial SIART (Bolivia), UCLA (US), ICA (UK), Palais de Tokyo (France, The Broad Museum (US), Smack Mellon (US), and the Hemispheric Institute (US), among others.",,2013,1 digital file,HI2019_040_01,Spanish,No spoken language.,,Deborah Castillo.,,c59zwb2j,,2020-08 August,Deborah Castillo,4:01,Deborah Castillo Collection,,"Fetishism.|,Latin America -- History -- Political aspects.|,Idolatry -- Latin America.|,Gender and sexuality|,""Artaud, Antonin (1896-1948)|""","Theoretical Fetish (2013) critiques the tendency to obsess over certain prestigious texts and authors in leftist Latin American culture. Artist Deborah Castillo reads and licks sections of Antonin Artaud's Letter to Power, embodying a fetishistic approach to the text. In another version of this performance Castillo uses Crowds and Power by Elias Canetti.",Theoretical fetish,Video performance
,"Deborah Castillo is a Venezuelan-born, Brooklyn-based multidisciplinary artist. She holds an MFA and BFA from Armando Reverón Higher Education School of Fine Arts in Caracas, Venezuela. Castillo has been granted numerous awards and residencies including NYFA Immigrant Artist Mentoring Program, (2015), NYC, The Banff  Center. Artist in Residence  Program in Visual Arts (2015) Canada, Atlantic Center for the Arts (2014), Florida and London Print Studio, (2007) UK as well as “Premio Armando Reverón”; AVAP in the “Young Artist Category” (2013), “XI Salón Eugenio Mendoza” Award, Sala Mendoza, (2003); VI Salón CANTV, Jóvenes con FIA” Award, (2003) Caracas, Venezuela and more. Her work has been exhibited at Museum of Arts and Design (US), New Museum (US), Rufino Tamayo Museum (Mexico), Carrillo Gil  Museum (Mexico); Escuela de Bellas Artes, Bolivian Biennial SIART (Bolivia), UCLA (US), ICA (UK), Palais de Tokyo (France, The Broad Museum (US), Smack Mellon (US), and the Hemispheric Institute (US), among others.",,2014,1 digital file,HI2019_041_01,Spanish,No spoken language.,,Deborah Castillo.,,pnvx0smd,,2020-08 August,Deborah Castillo,1:24,Deborah Castillo Collection,,"Gender and sexuality|,Latin America -- History -- Political aspects.|,Identity politics.|,Fetishism.|,Idolatry -- Latin America.|","Demagogue (2014), features a sculpture of a man with an oversized phallic nose. The artist touches it suggestively with her hand. This performance plays with the multiple implications of a nose as a protuding appendage: as a symbol of sexuality, and also as the mark of a liar disfigured by hubris and dishonesty. Castillo attributes each of these qualities to men honored by institutions and monuments. This piece speaks to her other works, which also portray socialist dictators resignified through sexual elements. ",Demagogue,Video performance
,"Deborah Castillo is a Venezuelan-born, Brooklyn-based multidisciplinary artist. She holds an MFA and BFA from Armando Reverón Higher Education School of Fine Arts in Caracas, Venezuela. Castillo has been granted numerous awards and residencies including NYFA Immigrant Artist Mentoring Program, (2015), NYC, The Banff  Center. Artist in Residence  Program in Visual Arts (2015) Canada, Atlantic Center for the Arts (2014), Florida and London Print Studio, (2007) UK as well as “Premio Armando Reverón”; AVAP in the “Young Artist Category” (2013), “XI Salón Eugenio Mendoza” Award, Sala Mendoza, (2003); VI Salón CANTV, Jóvenes con FIA” Award, (2003) Caracas, Venezuela and more. Her work has been exhibited at Museum of Arts and Design (US), New Museum (US), Rufino Tamayo Museum (Mexico), Carrillo Gil  Museum (Mexico); Escuela de Bellas Artes, Bolivian Biennial SIART (Bolivia), UCLA (US), ICA (UK), Palais de Tokyo (France, The Broad Museum (US), Smack Mellon (US), and the Hemispheric Institute (US), among others.",,2017,1 digital file,HI2019_042_01,"Spanish,English",,"Carmen Araujo Arte, Caracas, Venezuela",Deborah Castillo.,,h44j1612,,2020-08 August,Deborah Castillo,5:23,Deborah Castillo Collection,,"Fetishism.|,Emigration and immigration -- Political aspects.|,Sexual politics.|,Video performance|,Xenophobia|","The artist's mouth, wearing intense red lipstick, is seen in a close-up. In her teeth and on her tongue, there are insults such as ""Latrina, Sudaca, Puta, Border Bunny."" Her tongue moves the small golden letters around with confidence. While misogyny and xenophobia are the central themes of this performance, the seductive act of licking implies an undoing of the power the words carry and a reclamation of terms commonly seen as pejorative.",Free speech,Video performance
,"Deborah Castillo is a Venezuelan-born, Brooklyn-based multidisciplinary artist. She holds an MFA and BFA from Armando Reverón Higher Education School of Fine Arts in Caracas, Venezuela. Castillo has been granted numerous awards and residencies including NYFA Immigrant Artist Mentoring Program, (2015), NYC, The Banff  Center. Artist in Residence  Program in Visual Arts (2015) Canada, Atlantic Center for the Arts (2014), Florida and London Print Studio, (2007) UK as well as “Premio Armando Reverón”; AVAP in the “Young Artist Category” (2013), “XI Salón Eugenio Mendoza” Award, Sala Mendoza, (2003); VI Salón CANTV, Jóvenes con FIA” Award, (2003) Caracas, Venezuela and more. Her work has been exhibited at Museum of Arts and Design (US), New Museum (US), Rufino Tamayo Museum (Mexico), Carrillo Gil  Museum (Mexico); Escuela de Bellas Artes, Bolivian Biennial SIART (Bolivia), UCLA (US), ICA (UK), Palais de Tokyo (France, The Broad Museum (US), Smack Mellon (US), and the Hemispheric Institute (US), among others.",,2018,1 digital file,HI2019_043_01,Spanish,No spoken language.,,Deborah Castillo.,,b5mkm3vn,,2020-08 August,Deborah Castillo,4:11,Deborah Castillo Collection,,"Gender and performance|,Gender and society|,Military dictatorship|,""Mao, Ze Dong, 1893-1976|"",""Lenin, Vladimir Ilʹich, 1870-1924|"",""Castro, Fidel, 1926-2016|"",""Marx, Karl, 1818-1883|"",""Stalin, Joseph, 1878-1953|""","Five women stand in a dark room. They are nude except for the busts they wear, each bearing the face of a dictator: Mao Zedong, Vladimir Lenin, Karl Marx, Fidel Castro, and Joseph Stalin. The Dictatrix (2018) playfully examines notions of power within and upon the hypersexualized bodies of women. Their gestures and their naked forms clash with the masculinist theories and ideas of uniformity espoused by each political figure the women portray. ",The dictatrix,Video performance
